address,suburb,sale_date,sale_method,price,beds,baths,parking,land_size_sqm,property_type
"10/1 Hampden Street, Mosman",Mosman,2026-06-04,prior to auction,825000,1,1,1,,Apartment
"9/238 Raglan Street, Mosman",Mosman,2026-06-04,auction,1590000,2,1,1,,Apartment
"13/17-23 Heydon Street, Mosman",Mosman,2026-06-04,private treaty,1360000,2,1,1,,Retirement Living
"11 Euryalus Street, Mosman",Mosman,2026-06-04,prior to auction,7260000,6,4,3,879,House
"3/1A Oswald Street, Mosman",Mosman,2026-06-04,private treaty,1140000,2,1,,,Apartment
"96 Glover Street, Mosman",Mosman,2026-06-02,auction,3390000,4,3,2,379,House
"17/22 Mosman Street, Mosman",Mosman,2026-06-01,prior to auction,827000,1,1,1,,Apartment
"14 Calypso Avenue, Mosman",Mosman,2026-05-30,auction,4820000,4,2,2,,House
"28/9 Mandolong Road, Mosman",Mosman,2026-05-29,private treaty,800000,1,1,,,Apartment
"2/182 Raglan Street, Mosman",Mosman,2026-05-29,prior to auction,1275000,2,1,1,,Apartment
"1/31 Musgrave Street, Mosman",Mosman,2026-05-29,prior to auction,2250000,2,1,1,,Apartment
"12/22 Warringah Road, Mosman",Mosman,2026-05-26,private treaty,1030000,1,1,1,787,Apartment
"3/209 Spit Road, Mosman",Mosman,2026-05-22,private treaty,1390000,2,1,1,,Apartment
"2/78 Shadforth Street, Mosman",Mosman,2026-05-22,private treaty,785000,1,1,1,51,Apartment
"20 Garners Avenue, Marrickville",Marrickville,2026-08-06,prior to auction,1925000,2,1,,182,House
"6 Enfield Street, Marrickville",Marrickville,2026-08-05,auction,2320000,3,1,1,252,House
"27/176 Marrickville Road, Marrickville",Marrickville,2026-08-05,auction,2600000,3,2,4,,Apartment
"216/186C Victoria Road, Marrickville",Marrickville,2026-08-04,prior to auction,800000,1,1,,,Apartment
"241 Addison Road, Marrickville",Marrickville,2026-07-31,private treaty,1750000,3,2,2,196,House
"2/2-6 Schwebel Street, Marrickville",Marrickville,2026-07-30,private treaty,1080000,2,1,1,,Apartment
"60 Malakoff Street, Marrickville",Marrickville,2026-07-29,private treaty,2000000,3,2,1,177,House
"16/1-5 Glen Street, Marrickville",Marrickville,2026-07-25,auction,1010000,2,1,1,79,Apartment
"52 Illawarra Road, Marrickville",Marrickville,2026-07-25,auction,1735000,3,1,1,170,House
"49 Juliett Street, Marrickville",Marrickville,2026-07-24,private treaty,1640000,2,1,,124,House
"321/11-23 Gordon Street, Marrickville",Marrickville,2026-07-24,private treaty,1255000,2,2,1,,Apartment
"13 Cowper Street, Marrickville",Marrickville,2026-07-24,private treaty,1755000,3,3,,,House
"903/186C Victoria Road, Marrickville",Marrickville,2026-07-24,prior to auction,800000,1,1,,60,Apartment
"115 Sydenham Road, Marrickville",Marrickville,2026-07-23,private treaty,1850000,4,1,2,366,House
"73a Illawarra Road, Marrickville",Marrickville,2026-07-22,private treaty,2980000,4,3,,242,Semi-detached
"528 Illawarra Road, Marrickville",Marrickville,2026-07-17,private treaty,1650000,3,1,,429,House
"15 Gladstone Street, Marrickville",Marrickville,2026-07-17,prior to auction,1900000,2,1,1,195,House
"185 Addison Road, Marrickville",Marrickville,2026-07-17,prior to auction,2000000,3,2,,158,House
"2/346-348 Illawarra Road, Marrickville",Marrickville,2026-07-14,private treaty,653000,1,1,1,56,Apartment
"11 Enfield Street, Marrickville",Marrickville,2026-07-08,auction,2290000,4,1,1,354,House
"12A Dibble Avenue, Marrickville",Marrickville,2026-07-07,private treaty,2640000,4,3,2,213,House
"16/295 Victoria Road, Marrickville",Marrickville,2026-07-07,private treaty,1040000,2,1,1,111,Apartment
"11 Jocelyn Ave, Marrickville",Marrickville,2026-07-03,private treaty,1750000,2,1,,187,Semi-detached
"703C/359 Illawarra Road, Marrickville",Marrickville,2026-07-03,private treaty,790000,1,1,1,75,Apartment
"27/486-488 Illawarra Road, Marrickville",Marrickville,2026-07-02,auction,525000,1,1,,,Apartment
"1/136 Livingstone Road, Marrickville",Marrickville,2026-07-02,prior to auction,1245000,2,1,1,88,Apartment
"3/12 George Street, Marrickville",Marrickville,2026-07-01,prior to auction,880000,2,1,,56,Apartment
"19 Day Street, Marrickville",Marrickville,2026-06-29,private treaty,2075000,3,2,,188,House
"1/11 Bayley Street, Marrickville",Marrickville,2026-06-27,auction,650000,1,1,1,66,Apartment
"6/177-181 Sydenham Road, Marrickville",Marrickville,2026-06-24,prior to auction,1125000,2,1,1,95,Apartment
"12/80 Victoria Road, Marrickville",Marrickville,2026-06-19,private treaty,762500,0,1,,49,Studio
"26 Edward Street, Bankstown",Bankstown,2026-08-06,auction,1398888,3,2,5,550,House
"3/1-5 Marshall Street, Bankstown",Bankstown,2026-08-06,private treaty,620000,2,2,1,,Apartment
"9/105 Meredith Street, Bankstown",Bankstown,2026-08-04,private treaty,650000,2,1,2,,Apartment
"215 Wattle Street, Bankstown",Bankstown,2026-08-01,auction,1610000,5,2,2,486,House
"306/25 Meredith Street, Bankstown",Bankstown,2026-07-31,private treaty,548000,1,1,1,,Apartment
"1/192 Canterbury Road, Bankstown",Bankstown,2026-07-31,private treaty,920000,3,2,2,,Townhouse
"6 Highland Avenue, Bankstown",Bankstown,2026-07-25,auction,1340000,4,2,2,554,House
"5/38 Cairds Avenue, Bankstown",Bankstown,2026-07-25,auction,835000,3,2,2,,Apartment
"9/59 Rickard Road, Bankstown",Bankstown,2026-07-23,private treaty,535000,2,2,1,94,Apartment
"6/105 Meredith Street, Bankstown",Bankstown,2026-07-22,private treaty,607000,2,1,1,123,Apartment
"9/2b Myrtle Road, Bankstown",Bankstown,2026-07-21,private treaty,530000,2,1,1,126,Apartment
"305/465 Chapel Road, Bankstown",Bankstown,2026-07-20,private treaty,545000,2,1,1,,Apartment
"15/6 Myrtle Road, Bankstown",Bankstown,2026-07-14,private treaty,590000,2,1,1,,Apartment
"4 Irvine Street, Bankstown",Bankstown,2026-07-11,auction,1305000,3,1,4,448,House
"10/1 Dudley Avenue, Bankstown",Bankstown,2026-07-10,private treaty,659000,2,1,2,,Apartment
"907/16 Meredith Street, Bankstown",Bankstown,2026-07-10,private treaty,795000,3,2,3,194,Apartment
"35/94 Meredith Street, Bankstown",Bankstown,2026-07-09,private treaty,560000,2,1,1,125,Apartment
"226/351F Hume Highway, Bankstown",Bankstown,2026-07-08,private treaty,570000,2,2,1,,Apartment
"4/42-44 Sir Joseph Banks Street, Bankstown",Bankstown,2026-07-07,private treaty,629000,2,1,1,,Apartment
"24/7 Cross Street, Bankstown",Bankstown,2026-07-07,private treaty,500000,2,1,1,,Apartment
"48/17-27 Rickard Road, Bankstown",Bankstown,2026-07-03,private treaty,560000,2,1,1,,Apartment
"1102/196A Stacey Street, Bankstown",Bankstown,2026-07-03,private treaty,580666,2,2,1,,Apartment
"19 Gail Place, Bankstown",Bankstown,2026-06-27,auction,1550000,4,2,4,562,House
"12/8-10 Melanie Street, Bankstown",Bankstown,2026-06-23,private treaty,805000,3,2,2,123,Apartment
"12 Gould Street, Bankstown",Bankstown,2026-06-20,auction,2115000,5,3,6,746,House
"78 Northam Avenue, Bankstown",Bankstown,2026-06-20,auction,2220000,3,2,3,885,House
"603/196a Stacey Street, Bankstown",Bankstown,2026-06-18,private treaty,565000,2,2,1,,Apartment
"33/3-7 Fetherstone Street, Bankstown",Bankstown,2026-06-16,private treaty,400000,2,1,1,,Apartment
"78 Gardenia Avenue, Bankstown",Bankstown,2026-06-15,private treaty,1950000,4,3,2,695,House
"2/21 Myrtle Road, Bankstown",Bankstown,2026-06-15,private treaty,645000,2,1,2,,Apartment
"35 Allum Street, Bankstown",Bankstown,2026-06-13,auction,1796000,3,2,3,758,House
"11/45 Reynolds Avenue, Bankstown",Bankstown,2026-06-12,private treaty,630000,2,1,2,,Apartment
"1/292 Stacey Street, Bankstown",Bankstown,2026-06-12,private treaty,640000,2,1,1,,Apartment
"7/38 Marshall Street, Bankstown",Bankstown,2026-06-12,private treaty,637000,2,1,2,,Apartment
"5/1-9 Rickard Road, Bankstown",Bankstown,2026-06-10,private treaty,650000,2,1,2,,Apartment
"8/59 Spit Road, Mosman",Mosman,2026-05-21,prior to auction,750000,1,1,1,,Apartment
"3/11 Central Avenue, Mosman",Mosman,2026-05-21,private treaty,1625000,2,1,,,Apartment
"4G/732 Military Road, Mosman",Mosman,2026-05-21,auction,1220000,1,1,1,92,Apartment
"14 Dalton Road, Mosman",Mosman,2026-05-20,private treaty,3700000,4,2,1,246,Semi-detached
"32B/2 Brady Street, Mosman",Mosman,2026-05-19,private treaty,2000000,2,2,2,,Apartment
"2/5 Belmont Road, Mosman",Mosman,2026-05-18,prior to auction,1925000,2,1,,,Apartment
"27/102 Spit Road, Mosman",Mosman,2026-05-15,private treaty,765000,1,1,1,,Apartment
"7/8 Earl Street, Mosman",Mosman,2026-05-15,private treaty,3000000,3,2,2,,Apartment
"3/13 McLeod Street, Mosman",Mosman,2026-05-15,prior to auction,2080000,3,2,2,,Townhouse
"4/20 Avenue Road, Mosman",Mosman,2026-05-14,prior to auction,1180000,2,1,,82,Apartment
"33 Killarney Street, Mosman",Mosman,2026-05-14,auction,4165000,3,2,1,493,House
"2/7 Badham Avenue, Mosman",Mosman,2026-05-13,private treaty,1265000,2,1,,,Apartment
"8/2A Brady Street, Mosman",Mosman,2026-05-12,prior to auction,2225000,3,2,2,8882,Apartment
"13/68 Bradleys Head Road, Mosman",Mosman,2026-05-12,private treaty,750000,1,1,,48,Apartment
"6 Countess Street, Mosman",Mosman,2026-05-11,private treaty,3525000,3,2,1,378,House
"22 Cowles Road, Mosman",Mosman,2026-05-05,prior to auction,5605000,4,2,1,616,House
"Unit 3/3 Belmont Road, Mosman",Mosman,2026-05-04,private treaty,1900000,2,2,2,,Apartment
"5 Euryalus Street, Mosman",Mosman,2026-05-01,private treaty,6400000,4,2,,647,House
"41 Lang Street, Mosman",Mosman,2026-05-01,prior to auction,3350000,3,2,,,House
"37 Dalton Road, Mosman",Mosman,2026-04-29,prior to auction,3450000,4,1,1,,House
"24/27 Warringah Road, Mosman",Mosman,2026-04-23,private treaty,788000,1,1,1,,Apartment
"4/19-21 Countess Street, Mosman",Mosman,2026-04-22,private treaty,3000000,3,3,2,,Townhouse
"3 Glover Street, Mosman",Mosman,2026-04-20,prior to auction,5600000,5,2,1,515,House
"9 The Crescent, Mosman",Mosman,2026-04-18,auction,5100000,5,3,,504,House
"34 Somerset Street, Mosman",Mosman,2026-04-17,private treaty,5300000,4,2,2,557,House
"11/1A Queen Street, Mosman",Mosman,2026-04-16,private treaty,1325000,2,1,1,,Apartment
"9/237 Raglan Street, Mosman",Mosman,2026-04-16,private treaty,1500000,1,1,1,,Apartment
"10 Calypso Avenue, Mosman",Mosman,2026-04-16,auction,2825000,2,1,1,,Semi-detached
"161 Avenue Road, Mosman",Mosman,2026-04-16,auction,3760000,3,1,2,,House
"6/16 Bardwell Road, Mosman",Mosman,2026-04-16,private treaty,1325000,2,2,1,,Apartment
"8A Bickell Road, Mosman",Mosman,2026-04-15,private treaty,5050000,5,3,4,746,House
"3/701 Military Road, Mosman",Mosman,2026-04-14,private treaty,2125000,3,2,3,,Townhouse
"35/22 Mosman Street, Mosman",Mosman,2026-04-13,private treaty,835000,1,1,1,,Apartment
"5/28 Rickard Avenue, Mosman",Mosman,2026-04-13,private treaty,1950000,3,2,1,,Apartment
"19 Bray Street, Mosman",Mosman,2026-04-13,private treaty,4681000,5,2,3,461,House
"18/174 Spit Road, Mosman",Mosman,2026-04-12,private treaty,1195000,2,1,1,,Apartment
"130 Cowles Road, Mosman",Mosman,2026-04-11,auction,4200000,5,2,1,,House
"14 Erith Street, Mosman",Mosman,2026-04-11,auction,5300000,4,3,1,613,House
"3/102 Spit Road, Mosman",Mosman,2026-04-10,private treaty,800000,1,1,1,,Apartment
"19/5 Parriwi Road, Mosman",Mosman,2026-04-10,private treaty,3000000,2,2,1,,Apartment
"3/3 Millett Road, Mosman",Mosman,2026-04-09,private treaty,740000,1,1,,,Apartment
"312/88 Vista Street, Mosman",Mosman,2026-04-08,private treaty,721000,1,1,,,Apartment
"3/34 Upper Fairfax Road, Mosman",Mosman,2026-04-08,private treaty,1250000,2,1,,,Apartment
"1/9 Hill Street, Marrickville",Marrickville,2026-06-19,private treaty,992500,2,1,1,,Apartment
"13/236 Illawarra Road, Marrickville",Marrickville,2026-06-19,prior to auction,1075000,2,2,1,100,Apartment
"94 Juliett Street, Marrickville",Marrickville,2026-06-18,prior to auction,2500000,4,2,1,158,House
"205/326 Marrickville Road, Marrickville",Marrickville,2026-06-18,prior to auction,930000,1,1,1,87,Apartment
"5/6-8 Esk Street, Marrickville",Marrickville,2026-06-18,prior to auction,870000,2,1,1,53,Apartment
"42 Schwebel Street, Marrickville",Marrickville,2026-06-16,private treaty,1980000,4,1,,297,House
"24 O'Hara Street, Marrickville",Marrickville,2026-06-13,auction,1925000,3,1,,190,House
"41/12-22 Newington Road, Marrickville",Marrickville,2026-06-13,auction,1520000,3,2,2,,Townhouse
"6 Excelsior Parade, Marrickville",Marrickville,2026-06-13,auction,3016000,4,3,1,518,House
"27 Perry Street, Marrickville",Marrickville,2026-06-13,auction,2295000,4,2,,225,House
"345 Enmore Road, Marrickville",Marrickville,2026-06-12,private treaty,1980000,4,2,,,House
"17/88 Petersham Road, Marrickville",Marrickville,2026-06-12,prior to auction,1355000,2,2,1,124,Apartment
"4/385 Marrickville Road, Marrickville",Marrickville,2026-06-10,auction,795000,2,1,1,,Apartment
"14 O'Hara Street, Marrickville",Marrickville,2026-06-10,auction,2015000,3,1,,183,House
"6/21 Glen Street, Marrickville",Marrickville,2026-06-10,auction,1235000,2,2,1,92,Apartment
"52 Pile Street, Marrickville",Marrickville,2026-06-09,private treaty,2362000,3,2,2,429,House
"270 Victoria Road, Marrickville",Marrickville,2026-06-06,auction,1650000,4,1,1,,House
"8 Llewellyn Street, Marrickville",Marrickville,2026-06-05,prior to auction,1560000,2,1,,141,House
"3 Edward Street, Marrickville",Marrickville,2026-06-05,private treaty,2200000,3,2,1,194,House
"2 Darley Street, Marrickville",Marrickville,2026-06-04,private treaty,3100000,4,2,2,479,House
"423/11-23 Gordon Street, Marrickville",Marrickville,2026-06-04,prior to auction,1275000,2,2,1,,Apartment
"56 Wemyss Street, Marrickville",Marrickville,2026-06-01,private treaty,1820000,3,1,,227,House
"516/186C Victoria Road, Marrickville",Marrickville,2026-05-30,auction,950000,1,1,1,79,Apartment
"19 Newington Road, Marrickville",Marrickville,2026-05-30,prior to auction,1543000,2,1,,,House
"42 George Street, Marrickville",Marrickville,2026-05-30,auction,3160000,4,1,4,600,House
"8 Crawford Place, Marrickville",Marrickville,2026-05-29,private treaty,2100000,4,1,3,328,House
"3/29 Riverside Crescent, Marrickville",Marrickville,2026-05-29,prior to auction,1270000,2,1,1,99,Apartment
"171 Edgeware Road, Marrickville",Marrickville,2026-05-29,private treaty,1605000,2,1,,221,House
"119/186C Victoria Road, Marrickville",Marrickville,2026-05-29,prior to auction,815000,1,1,,,Apartment
"111 Warren Road, Marrickville",Marrickville,2026-05-27,private treaty,1950000,3,1,,,House
"8/132 Wardell Road, Marrickville",Marrickville,2026-05-26,prior to auction,1408990,3,1,1,119,Townhouse
"23/18 Cecilia Street, Marrickville",Marrickville,2026-05-25,private treaty,1169000,2,1,1,110,Apartment
"16 Greenbank Street, Marrickville",Marrickville,2026-05-23,auction,2200000,2,2,2,303,House
"25 William Street, Marrickville",Marrickville,2026-05-22,prior to auction,1830000,2,1,,177,House
"100 Neville Street, Marrickville",Marrickville,2026-05-22,prior to auction,2905000,4,2,,411,House
"3/26 Henson Street, Marrickville",Marrickville,2026-05-21,prior to auction,950000,2,1,1,,Apartment
"146 Edinburgh Road, Marrickville",Marrickville,2026-05-19,private treaty,2320000,4,2,2,335,House
"81 Petersham Road, Marrickville",Marrickville,2026-05-19,private treaty,2100000,4,2,2,208,House
"6/29 Pine Street, Marrickville",Marrickville,2026-05-18,private treaty,590000,1,1,,44,Apartment
"215/74 Restwell Street, Bankstown",Bankstown,2026-06-09,private treaty,700000,2,2,1,,Apartment
"1 Braunbeck Street, Bankstown",Bankstown,2026-06-05,prior to auction,1800000,4,2,2,601,House
"102/192 Stacey Street, Bankstown",Bankstown,2026-06-05,private treaty,640000,2,2,1,,Apartment
"512/16-20 Meredith Street, Bankstown",Bankstown,2026-06-03,private treaty,605000,2,2,2,2479,Apartment
"5/8-12 Hixson Street, Bankstown",Bankstown,2026-06-03,private treaty,575000,2,1,2,,Apartment
"114/196B Stacey Street, Bankstown",Bankstown,2026-06-03,private treaty,438888,1,1,1,84,Apartment
"10 Dutton Street, Bankstown",Bankstown,2026-05-30,auction,1857000,5,2,4,562,House
"6/47 Cairds Avenue, Bankstown",Bankstown,2026-05-29,private treaty,779680,3,2,2,151,Apartment
"185A William Street, Bankstown",Bankstown,2026-05-26,private treaty,1600000,5,2,3,967,House
"32/16 West Terrace, Bankstown",Bankstown,2026-05-26,private treaty,455000,2,1,1,,House
"1 Eldridge Road, Bankstown",Bankstown,2026-05-23,auction,1670000,7,4,3,461,House
"1/8-10 Weigand Avenue, Bankstown",Bankstown,2026-05-22,private treaty,475000,2,1,2,114,Apartment
"58/3-5 Fetherstone St, Bankstown",Bankstown,2026-05-21,private treaty,450000,2,1,1,,Apartment
"21/146 Meredith Street, Bankstown",Bankstown,2026-05-20,private treaty,530000,2,2,1,,Apartment
"505/6-8 Cross St, Bankstown",Bankstown,2026-05-19,private treaty,572000,2,2,1,,Apartment
"10/1A Carmen Street, Bankstown",Bankstown,2026-05-18,private treaty,620000,2,1,1,,Apartment
"106/61 Rickard Road, Bankstown",Bankstown,2026-05-15,private treaty,700000,2,2,1,,Apartment
"36/27 Raymond Street, Bankstown",Bankstown,2026-05-14,private treaty,507000,2,1,1,110,Apartment
"1/45 Jacobs Street, Bankstown",Bankstown,2026-05-12,private treaty,608000,2,1,1,,Apartment
"39/22 Raymond Street, Bankstown",Bankstown,2026-05-12,private treaty,460000,2,1,1,,Apartment
"1 Remi Street, Bankstown",Bankstown,2026-05-11,prior to auction,1550000,4,2,4,480,House
"506/465 Chapel Road, Bankstown",Bankstown,2026-05-08,private treaty,570000,2,1,1,,Apartment
"1/127 Chapel Road, Bankstown",Bankstown,2026-05-08,private treaty,540000,2,1,1,,Apartment
"17/41-43 Northam Avenue, Bankstown",Bankstown,2026-05-07,private treaty,660000,2,1,1,,Apartment
"404/19 Meredith Street, Bankstown",Bankstown,2026-05-07,private treaty,555000,1,1,1,,Apartment
"6/6-10 Sir Joseph Banks Street, Bankstown",Bankstown,2026-05-06,private treaty,640000,2,1,2,,Apartment
"78/7-9 Cross Street, Bankstown",Bankstown,2026-05-06,private treaty,510000,2,1,1,,Apartment
"40/30 Raymond Street, Bankstown",Bankstown,2026-05-05,private treaty,735000,3,2,1,135,Apartment
"6/24-28 Reynolds Avenue, Bankstown",Bankstown,2026-05-05,private treaty,680000,2,1,2,,Apartment
"23/16 Dellwood Street, Bankstown",Bankstown,2026-05-05,private treaty,610000,2,1,1,2827,Apartment
"1/188 Canterbury Road, Bankstown",Bankstown,2026-05-05,private treaty,875000,3,1,2,238,Townhouse
"1003/192 Stacey Street, Bankstown",Bankstown,2026-05-04,private treaty,625000,2,2,1,,Apartment
"7/36 Brandon Avenue, Bankstown",Bankstown,2026-05-04,auction,731000,2,1,1,,Apartment
"18/24 Brandon Avenue, Bankstown",Bankstown,2026-05-04,private treaty,710000,2,1,2,,Apartment
"16/145 Chapel Road, Bankstown",Bankstown,2026-05-04,private treaty,540000,2,1,1,,Apartment
"23 & 25 Reynolds Avenue, Bankstown",Bankstown,2026-05-03,auction,2800000,6,2,2,1046,House
"3/5-7 Carmen Street, Bankstown",Bankstown,2026-05-02,private treaty,585000,2,1,1,121,Apartment
"2/8-10 Bardwell Road, Mosman",Mosman,2026-04-07,private treaty,1775000,3,2,2,,Apartment
"28/182 Raglan Street, Mosman",Mosman,2026-04-04,prior to auction,1800000,2,1,1,,Apartment
"4/36-40 Muston Street, Mosman",Mosman,2026-04-02,prior to auction,2200000,3,2,2,,Apartment
"1/1 Hampden Street, Mosman",Mosman,2026-04-02,private treaty,1200000,2,1,,,Apartment
"22/40 Raglan Street, Mosman",Mosman,2026-04-02,prior to auction,5025000,4,3,2,,Apartment
"19/180 Raglan Street, Mosman",Mosman,2026-04-02,private treaty,815000,1,1,1,,Apartment
"12/68 Bradleys Head Road, Mosman",Mosman,2026-04-02,prior to auction,1100000,2,1,,68,Apartment
"38 Bond Street, Mosman",Mosman,2026-04-01,auction,2920000,3,1,1,233,House
"3/1 Hampden Street, Mosman",Mosman,2026-04-01,private treaty,742000,1,1,,,Apartment
"8/4 Mandolong Road, Mosman",Mosman,2026-04-01,auction,1405000,2,1,1,,Apartment
"44 Musgrave Street, Mosman",Mosman,2026-03-31,private treaty,3388000,4,3,1,240,House
"2/1C Avenue Road, Mosman",Mosman,2026-03-31,auction,4500000,3,2,2,,Duplex
"17 Morella Road, Mosman",Mosman,2026-03-31,private treaty,23000000,4,3,2,961,House
"27 Bardwell Road, Mosman",Mosman,2026-03-30,auction,3675000,4,2,1,259,House
"2/732 Military Road, Mosman",Mosman,2026-03-27,private treaty,1050000,1,1,1,80,Apartment
"8/238 Raglan Street, Mosman",Mosman,2026-03-27,auction,1828000,2,1,1,,Apartment
"14 Illawarra Street, Mosman",Mosman,2026-03-27,auction,4635000,3,2,1,1107,House
"1/21 Mcleod Street, Mosman",Mosman,2026-03-27,private treaty,1752000,3,1,,633,Apartment
"34 Rickard Avenue, Mosman",Mosman,2026-03-27,private treaty,9000000,7,3,2,,House
"8/32 Muston Street, Mosman",Mosman,2026-03-27,auction,1450000,2,1,1,,Apartment
"10 Cyprian Street, Mosman",Mosman,2026-03-26,auction,8500000,4,3,2,559,House
"6 Wolseley Road, Mosman",Mosman,2026-03-26,auction,6600000,4,2,2,436,House
"3/41 Spofforth Street, Mosman",Mosman,2026-03-25,prior to auction,1200000,2,1,,,Apartment
"26 David Street, Mosman",Mosman,2026-03-25,prior to auction,8750000,5,3,2,766,House
"88 Shadforth Street, Mosman",Mosman,2026-03-24,private treaty,6850000,4,3,2,602,House
"3/12 Earl Street, Mosman",Mosman,2026-03-21,prior to auction,2900000,3,2,2,,Townhouse
"11 Cobbittee Street, Mosman",Mosman,2026-03-20,prior to auction,7325000,5,4,4,670,House
"3 Ourimbah Road, Mosman",Mosman,2026-03-20,prior to auction,2900000,3,1,1,,House
"2/28 Orlando Avenue, Mosman",Mosman,2026-03-20,private treaty,1504000,2,1,,,Apartment
"29 Pearl Bay Avenue, Mosman",Mosman,2026-03-20,private treaty,7198000,4,3,3,,House
"4/2 Musgrave Street, Mosman",Mosman,2026-03-20,prior to auction,2287500,2,1,,80,Apartment
"1/46B Parriwi Road, Mosman",Mosman,2026-03-20,prior to auction,4350000,3,2,2,,Apartment
"5/30 Hale Road, Mosman",Mosman,2026-03-20,prior to auction,1835000,2,1,1,185,Townhouse
"2/8 Muston Street, Mosman",Mosman,2026-03-19,private treaty,1300000,2,1,1,,Apartment
"13/560 Military Road, Mosman",Mosman,2026-03-19,private treaty,1037000,2,1,1,,Apartment
"9/59 Prince Albert Street, Mosman",Mosman,2026-03-19,prior to auction,1465000,2,1,1,940,Apartment
"125 Ourimbah Road, Mosman",Mosman,2026-03-19,private treaty,4750000,5,5,2,480,House
"8A Prince Street, Mosman",Mosman,2026-03-18,prior to auction,3570000,4,3,2,258,House
"2a Ryrie Street, Mosman",Mosman,2026-03-14,auction,3700000,3,2,3,493,House
"4/67A Avenue Road, Mosman",Mosman,2026-03-13,private treaty,935000,2,1,,,Apartment
"8 Pindari Avenue, Mosman",Mosman,2026-03-11,prior to auction,6320000,5,3,2,527,House
"7/10 Raglan Street, Mosman",Mosman,2026-03-11,private treaty,710000,1,1,,,Apartment
"5/51 Spit Road, Mosman",Mosman,2026-03-10,private treaty,1029000,2,1,,,Apartment
"18 Melrose Street, Mosman",Mosman,2026-03-09,private treaty,5200000,6,3,2,532,House
"2/8 Silex Road, Mosman",Mosman,2026-03-07,auction,2250000,2,2,1,,Apartment
"31 Ryrie Street, Mosman",Mosman,2026-03-07,auction,3900000,5,3,2,624,House
"16/182 Raglan Street, Mosman",Mosman,2026-03-07,auction,1610000,2,1,1,,Apartment
"1/105-107 Cowles Road, Mosman",Mosman,2026-03-07,auction,2260000,3,2,2,,Townhouse
"6/39 Stanton Road, Mosman",Mosman,2026-03-07,auction,1360000,2,1,1,1546,Apartment
"8/1 Queen Street, Mosman",Mosman,2026-03-07,private treaty,1670000,2,1,1,,Apartment
"53 Clanalpine Street, Mosman",Mosman,2026-03-06,private treaty,7700000,5,5,4,511,House
"32 Lang Street, Mosman",Mosman,2026-03-06,prior to auction,3900000,5,2,2,493,House
"1/21 Park Avenue, Mosman",Mosman,2026-03-06,prior to auction,1180000,2,1,,,Apartment
"1/8 Muston Street, Mosman",Mosman,2026-03-06,private treaty,1300000,2,1,1,,Apartment
"17/6 Clifford Street, Mosman",Mosman,2026-03-05,private treaty,670000,1,1,,,Apartment
"55 Wolseley Road, Mosman",Mosman,2026-03-05,private treaty,7430000,4,3,4,771,House
"14 Kirkoswald Avenue, Mosman",Mosman,2026-03-05,prior to auction,8510000,5,3,2,556,House
"19 Wyong Road, Mosman",Mosman,2026-03-04,prior to auction,8085000,4,3,1,999,House
